Date,Program,Provider,Attendance
10/1/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,120
10/2/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
10/3/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/4/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
10/5/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
10/6/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
10/7/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
10/8/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
10/9/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
10/10/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/11/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
10/12/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
10/13/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
10/14/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
10/15/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/16/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/17/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
10/18/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/19/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/20/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
10/21/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
10/22/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
10/23/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
10/24/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
10/25/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/26/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
10/27/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
10/28/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/29/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
10/30/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/31/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
11/1/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
11/2/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,131
11/3/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
11/4/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
11/5/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
11/6/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
11/7/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
11/8/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
11/9/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
11/10/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
11/11/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
11/12/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
11/13/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
11/14/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
11/15/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
11/16/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
11/17/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
11/18/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
11/19/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
11/20/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
11/21/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
11/22/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
11/23/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,125
11/24/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
11/25/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
11/26/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
11/27/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
11/28/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
11/29/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
11/30/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
12/1/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,127
12/2/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,123
12/3/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,121
12/4/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
12/5/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
12/6/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,134
12/7/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
12/8/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
12/9/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,134
12/10/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
12/11/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
12/12/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
12/13/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
12/14/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
12/15/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
12/16/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
12/17/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
12/18/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
12/19/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
12/20/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
12/21/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
12/22/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
12/23/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
12/24/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
12/25/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
12/26/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
12/27/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
12/28/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
12/29/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
12/30/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
12/31/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
1/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
1/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
1/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
1/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
1/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
1/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
1/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
1/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
1/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
1/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
1/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
1/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
1/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
1/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
1/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
1/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
1/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
1/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
1/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
1/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,155
1/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
1/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
1/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
1/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
1/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
1/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
1/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
1/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
1/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
1/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
1/31/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
2/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
2/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
2/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
2/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
2/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
2/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
2/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
2/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
2/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
2/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
2/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
2/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
2/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
2/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
2/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
2/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
2/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
2/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
2/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
2/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
2/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
2/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
2/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
3/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
3/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
3/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
3/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
3/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
3/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
3/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
3/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
3/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
3/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
3/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
3/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
3/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
3/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
3/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
3/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
3/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
3/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
3/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
3/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
3/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
3/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
3/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
3/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
3/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
3/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
3/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
3/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
3/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
3/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
3/31/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
4/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
4/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
4/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
4/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
4/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
4/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
4/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
4/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
4/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
4/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
4/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
4/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
4/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
4/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
4/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
4/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
4/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
4/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
4/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
4/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
4/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
4/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
4/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
4/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
4/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
4/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
4/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
4/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
4/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
4/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
5/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,124
5/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
5/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
5/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,123
5/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,118
5/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
5/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,134
5/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
5/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
5/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,125
5/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
5/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,128
5/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
5/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
5/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
5/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,128
5/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
5/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
5/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
5/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
5/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
5/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
5/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
5/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
5/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,126
5/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,128
5/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,126
5/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
5/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
5/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
5/31/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
6/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
6/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,121
6/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
6/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
6/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
6/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
6/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
6/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
6/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
6/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
6/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
6/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
6/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
6/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
6/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
6/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
6/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
6/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
6/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,155
6/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
6/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
6/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
6/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,124
6/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
6/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
6/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
6/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
6/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
6/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
6/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
7/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,122
7/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,128
7/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
7/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,113
7/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
7/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
7/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,119
7/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
7/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
7/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
7/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
7/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
7/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
7/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
7/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
7/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
7/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
7/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
7/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
7/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
7/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
7/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
7/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
7/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
7/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
7/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
7/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
7/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,134
7/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
7/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
7/31/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
8/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
8/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
8/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,128
8/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,134
8/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,124
8/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
8/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
8/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
8/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
8/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
8/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
8/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
8/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
8/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
8/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
8/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
8/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
8/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
8/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
8/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
8/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
8/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,155
8/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
8/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
8/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
8/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
8/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,131
8/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
8/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
8/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
8/31/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
9/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,120
9/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,127
9/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,131
9/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
9/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
9/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
9/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,126
9/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
9/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
9/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
9/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
9/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
9/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
9/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
9/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,138
9/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
9/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
9/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
9/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
9/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
9/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
9/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,127
9/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
9/24/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
9/25/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,156
9/26/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
9/27/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
9/28/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
9/29/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
9/30/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
10/1/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
10/2/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
10/3/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
10/4/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
10/5/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,150
10/6/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
10/7/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
10/8/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
10/9/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/10/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/11/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
10/12/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
10/13/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
10/14/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/15/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
10/16/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/17/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/18/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,159
10/19/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,158
10/20/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
10/21/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
10/22/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,160
10/23/2018,Housing-Focused Shelter,Boulder Shelter for the Homeless,157
