Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2600,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2601,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2602,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2603,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2604,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2605,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2606,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2607,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2608,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2609,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2610,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2611,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2612,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2613,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2614,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2615,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2616,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2617,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2618,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2619,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2620,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2621,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2622,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2623,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2624,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2625,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2626,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2657,,1999
LTRA,50% AMI,2,4,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1280,Rental,2658,,1999
LTRA,50% AMI,2,4,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1280,Rental,2659,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2660,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2661,,1999
LTRA,50% AMI,2,4,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1280,Rental,2662,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2663,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2664,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2665,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2666,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2667,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2668,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2669,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2670,,1999
LTRA,50% AMI,1,0,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,508,Rental,2671,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2672,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2673,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2674,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2675,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2676,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2678,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2679,,1999
LTRA,50% AMI,2,4,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1280,Rental,2680,,1999
LTRA,50% AMI,1,3,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,1056,Rental,2681,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2682,,1999
LTRA,50% AMI,1,2,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,694,Rental,2683,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2684,,1999
LTRA,50% AMI,1,0,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,508,Rental,2685,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2686,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2687,,1999
LTRA,50% AMI,1,0,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,508,Rental,2688,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2689,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2690,,1999
LTRA,50% AMI,1,1,80130121014,1972,Boulder Housing Partners,Glen Willow,Likely to Remain Affordable,614,Rental,2691,,1999
